source,topic,skill_tag,confidence,difficulty,difficulty_tier,needs_review
Test-1A-Q1,algebra,fraction_arithmetic,0.85,1,easy,no
Test-1A-Q10,algebra,number_representation,0.50,1,easy,yes
Test-1A-Q11,geometry,triangle_geometry,0.85,1,easy,no
Test-1A-Q12,combinatorics,permutation_arrangement,0.95,1,easy,no
Test-1A-Q13,logarithms,logarithm,0.95,1,easy,no
Test-1A-Q14,algebra,quadratic_equation,0.90,1,easy,no
Test-1A-Q15,functions,function_inverse_composite,0.95,1,easy,no
Test-1A-Q16,probability,compound_event,0.60,1,easy,yes
Test-1A-Q17,sequences,progression,0.95,1,easy,no
Test-1A-Q18,sequences,progression,0.70,1,easy,no
Test-1A-Q19,algebra,coordinate_geometry,0.90,1,easy,no
Test-1A-Q2,algebra,radical_expression,0.90,1,easy,no
Test-1A-Q20,algebra,quadratic_inequality,0.85,1,easy,no
Test-1A-Q21,functions,function_graph,0.55,1,easy,yes
Test-1A-Q22,algebra,number_representation,0.55,1,easy,yes
Test-1A-Q23,algebra,polynomial_remainder,0.95,1,easy,no
Test-1A-Q24,algebra,quadratic_equation,0.90,1,easy,no
Test-1A-Q25,algebra,word_problem_arithmetic,0.65,1,easy,yes
Test-1A-Q26,trigonometry,trig_identity,0.95,1,easy,no
Test-1A-Q27,algebra,number_representation,0.95,1,easy,no
Test-1A-Q28,geometry,triangle_geometry,0.85,1,easy,no
Test-1A-Q29,functions,function_graph,0.85,1,easy,no
Test-1A-Q3,algebra,number_representation,0.85,1,easy,no
Test-1A-Q30,functions,function_graph,0.65,1,easy,yes
Test-1A-Q31,algebra,number_representation,0.85,1,easy,no
Test-1A-Q32,algebra,matrix_operation,0.90,1,easy,no
Test-1A-Q33,algebra,system_of_equations,0.85,1,easy,no
Test-1A-Q34,functions,function_graph,0.90,1,easy,no
Test-1A-Q35,algebra,quadratic_inequality,0.55,1,easy,yes
Test-1A-Q36,functions,function_graph,0.65,1,easy,yes
Test-1A-Q4,algebra,fraction_arithmetic,0.80,1,easy,no
Test-1A-Q5,algebra,exponent_rules,0.80,1,easy,no
Test-1A-Q6,logarithms,logarithm,0.95,1,easy,no
Test-1A-Q7,geometry,triangle_geometry,0.90,1,easy,no
Test-1A-Q8,algebra,quadratic_equation,0.95,1,easy,no
Test-1A-Q9,algebra,exponent_rules,0.75,1,easy,no
Test-1B-Q1,algebra,fraction_arithmetic,0.85,1,easy,no
Test-1B-Q10,algebra,number_representation,0.50,1,easy,yes
Test-1B-Q11,geometry,triangle_geometry,0.85,1,easy,no
Test-1B-Q12,combinatorics,permutation_arrangement,0.95,1,easy,no
Test-1B-Q13,logarithms,logarithm,0.95,1,easy,no
Test-1B-Q14,algebra,quadratic_equation,0.90,1,easy,no
Test-1B-Q15,functions,function_inverse_composite,0.95,1,easy,no
Test-1B-Q16,probability,compound_event,0.60,1,easy,yes
Test-1B-Q17,sequences,progression,0.95,1,easy,no
Test-1B-Q18,sequences,progression,0.70,1,easy,no
Test-1B-Q19,algebra,coordinate_geometry,0.90,1,easy,no
Test-1B-Q2,algebra,radical_expression,0.90,1,easy,no
Test-1B-Q20,algebra,quadratic_inequality,0.85,1,easy,no
Test-1B-Q21,functions,function_graph,0.55,1,easy,yes
Test-1B-Q22,algebra,number_representation,0.55,1,easy,yes
Test-1B-Q23,algebra,polynomial_remainder,0.95,1,easy,no
Test-1B-Q24,algebra,quadratic_equation,0.90,1,easy,no
Test-1B-Q25,algebra,word_problem_arithmetic,0.65,1,easy,yes
Test-1B-Q26,trigonometry,trig_identity,0.95,1,easy,no
Test-1B-Q27,algebra,number_representation,0.95,1,easy,no
Test-1B-Q28,geometry,triangle_geometry,0.85,1,easy,no
Test-1B-Q29,functions,function_graph,0.85,1,easy,no
Test-1B-Q3,algebra,number_representation,0.85,1,easy,no
Test-1B-Q30,functions,function_graph,0.65,1,easy,yes
Test-1B-Q31,statistics,number_representation,0.85,1,easy,no
Test-1B-Q32,algebra,matrix_operation,0.90,1,easy,no
Test-1B-Q33,algebra,system_of_equations,0.85,1,easy,no
Test-1B-Q34,functions,function_graph,0.90,1,easy,no
Test-1B-Q35,algebra,quadratic_inequality,0.55,1,easy,yes
Test-1B-Q36,functions,function_graph,0.65,1,easy,yes
Test-1B-Q4,algebra,fraction_arithmetic,0.80,1,easy,no
Test-1B-Q5,algebra,exponent_rules,0.80,1,easy,no
Test-1B-Q6,logarithms,logarithm,0.95,1,easy,no
Test-1B-Q7,geometry,triangle_geometry,0.90,1,easy,no
Test-1B-Q8,algebra,quadratic_equation,0.95,1,easy,no
Test-1B-Q9,algebra,exponent_rules,0.75,1,easy,no
Test-2021A-Q1,arithmetic,number_representation,0.98,1,easy,no
Test-2021A-Q10,calculus,derivative_rules,0.95,1,easy,no
Test-2021A-Q11,arithmetic,number_representation,0.95,1,easy,no
Test-2021A-Q12,statistics,dispersion,0.95,1,easy,no
Test-2021A-Q13,algebra,radical_expression,0.80,1,easy,no
Test-2021A-Q14,algebra,matrix_inverse,0.98,1,easy,no
Test-2021A-Q15,algebra,system_of_equations,0.95,1,easy,no
Test-2021A-Q16,functions,function_domain_range,0.85,1,easy,no
Test-2021A-Q17,algebra,polynomial_remainder,0.98,1,easy,no
Test-2021A-Q18,set_theory,set_theory,0.98,1,easy,no
Test-2021A-Q19,combinatorics,counting_principle,0.95,1,easy,no
Test-2021A-Q2,arithmetic,number_representation,0.98,1,easy,no
Test-2021A-Q20,geometry,solid_geometry,0.90,1,easy,no
Test-2021A-Q21,algebra,polynomial_factoring,0.70,1,easy,no
Test-2021A-Q22,algebra,linear_equation,0.60,1,easy,yes
Test-2021A-Q23,calculus,indefinite_integral,0.85,1,easy,no
Test-2021A-Q24,calculus,derivative_application,0.95,1,easy,no
Test-2021A-Q25,vectors,vector_geometry,0.95,1,easy,no
Test-2021A-Q26,statistics,central_tendency,0.90,1,easy,no
Test-2021A-Q27,algebra,rational_expression,0.98,1,easy,no
Test-2021A-Q28,arithmetic,word_problem_arithmetic,0.90,1,easy,no
Test-2021A-Q29,geometry,geometric_transformation,0.95,1,easy,no
Test-2021A-Q3,arithmetic,number_representation,0.95,1,easy,no
Test-2021A-Q30,algebra,progression,0.98,1,easy,no
Test-2021A-Q31,vectors,vector_geometry,0.95,1,easy,no
Test-2021A-Q32,calculus,definite_integral,0.98,1,easy,no
Test-2021A-Q33,geometry,triangle_geometry,0.75,1,easy,no
Test-2021A-Q34,geometry,solid_geometry,0.90,1,easy,no
Test-2021A-Q35,geometry,geometric_transformation,0.60,1,easy,yes
Test-2021A-Q36,algebra,quadratic_inequality,0.90,1,easy,no
Test-2021A-Q4,probability,compound_event,0.80,1,easy,no
Test-2021A-Q5,algebra,exponent_rules,0.65,1,easy,yes
Test-2021A-Q6,functions,function_domain_range,0.65,1,easy,yes
Test-2021A-Q7,geometry,coordinate_geometry,0.95,1,easy,no
Test-2021A-Q8,algebra,matrix_operation,0.95,1,easy,no
Test-2021A-Q9,trigonometry,trig_identity,0.90,1,easy,no
Test-2021B-Q1,arithmetic,number_representation,0.98,1,easy,no
Test-2021B-Q10,calculus,derivative_rules,0.95,1,easy,no
Test-2021B-Q11,arithmetic,number_representation,0.95,1,easy,no
Test-2021B-Q12,statistics,dispersion,0.95,1,easy,no
Test-2021B-Q13,algebra,radical_expression,0.80,1,easy,no
Test-2021B-Q14,algebra,matrix_inverse,0.98,1,easy,no
Test-2021B-Q15,algebra,system_of_equations,0.95,1,easy,no
Test-2021B-Q16,functions,function_domain_range,0.85,1,easy,no
Test-2021B-Q17,algebra,polynomial_remainder,0.98,1,easy,no
Test-2021B-Q18,set_theory,set_theory,0.98,1,easy,no
Test-2021B-Q19,combinatorics,counting_principle,0.95,1,easy,no
Test-2021B-Q2,arithmetic,number_representation,0.98,1,easy,no
Test-2021B-Q20,geometry,solid_geometry,0.90,1,easy,no
Test-2021B-Q21,algebra,polynomial_factoring,0.70,1,easy,no
Test-2021B-Q22,algebra,linear_equation,0.60,1,easy,yes
Test-2021B-Q23,calculus,indefinite_integral,0.85,1,easy,no
Test-2021B-Q24,calculus,derivative_application,0.95,1,easy,no
Test-2021B-Q25,vectors,vector_geometry,0.95,1,easy,no
Test-2021B-Q26,statistics,central_tendency,0.90,1,easy,no
