english	mongolian	note	source_page
add	нэмэх, нийлбэр болгох		
addend	нэмэгдэхүүн	in 3 + 5 = 8, 3 and 5 are addends	
addition	нэмэх, нэмэх үйлдэл, нийлбэр болгох, өөрчлөлт (утгын)		
additive	аддитив		
additive inverse	эсрэг тоо, эсрэг матриц, нэмэхийн эсрэг хоёр тоо, сөрөг тоо	entry runs on from p.19; vectors/matrices: эсрэг элемент	
adjacent	залгаа, хөрш, залгаа оршсон, налсан, зэрэгцээ, ерөнхий талтай, хиллэсэн, дараалсан		
adjacent angles	залгаа хоёр өнцөг, ерөнхий талтай хоёр өнцөг		
algebra	алгебр		
algebraic	алгебрын, алгебр		
algebraic expression	алгебрын илэрхийлэл, алгебрийн илэрхийлэл	book prints both -ын and -ийн spellings; printed as plural 'algebraic expressions'	
algorithm	алгоритм, дүрэм, теорем		
altitude	өндөр		
amount	нийлбэр, хэмжээ, утга, мөнгөний дүн, мөнгөний нийт хэмжээ, мөнгөний хэмжээ, бүгд хүрэх, тэнцэх	finance sense: дүн мөнгө = principal + interest	
analysis	анализ, математик анализ, задлан шинжилгээ	plural analyses; entry continues on p.28	
angle	өнцөг		
acute angle	хурц өнцөг		
a right angle	тэгш өнцөг		
an obtuse angle	мохоо өнцөг		
alternate interior angles	дотоод солбисон хоёр өнцөг		
angle bisector	өнцгийн биссектрис		
answer	хариу, хариулт, хариулах, тохирох, харгалзах, хангах		
antiderivative	эх функц		
approximate	ойролцоо утга, ойролцоо илэрхийлэх, ойролцоо тэнцэх		
approximately	ойролцоо, ойролцоогоор		
arc	нум		
area	талбай, муж, хүрээ (үйлчлэх), салбар		
arithmetic	арифметик, арифметикийн үйлдэл	'арифметик дундаж' нь arithmetic mean-д хамаарна	
arithmetic mean	арифметикийн дундаж, арифметик дундаж		
arithmetic progression	арифметик (арифметикийн) прогресс		
arithmetic sequence	арифметик (арифметикийн) прогресс		
arrange	байрлал, жагсаалт, эрэмбэлсэн байрлал, дэс дараалан байрлуулах, эрэмбэлэн байрлуулах, гэж үзэх, эрэмбэлэх, ангилах		
array	цуглуулга, дараалал, хүснэгт, матриц, эрэмбэлэн байрлуулах		
ascending	өсөлт, дээшлэлт, өсөж байгаа, дээшилж байгаа		
associative	бүлэглэх	of an operation: бүлэглэх чанартай	
assume	гэж үзэх, хүлээн авах, авах (утга), болох, гэх		
assumption	угтвар дүгнэлт, урьдчилсан дүгнэлт, таамаглал, эсрэг дүгнэлт (эсрэгээс батлахад)		
average	дундаж, дундаж тоо гаргах		
axiom	аксиом		
abscissa	абсцисс	x-coordinate; first coordinate of an ordered pair	
absolute value	абсолют хэмжигдэхүүн		
acute	хурц		
base	үндэс, суурь, үндэслэх, суурилах, тулгуурлах		
accuracy	нарийвчлал, зөв болох (нь)		
accurate	нарийн, яг (зөв) тодорхойлсон, зөв, алдаагүй		
apply	хэрэглэх, ашиглах, давхарлах		
argument	аргумент, үл хамааран хувьсагч, үндэслэл, тайлбар, гаргалгаа, ургуулан бодолт, баталгаа		
x-axis	x тэнхлэг, абсцисс тэнхлэг		
y-axis	y тэнхлэг, ординат тэнхлэг		
z-axis	z тэнхлэг, аппликат тэнхлэг		
a	зарим, нэг, эхний	symbol for a known number/quantity; prefix a- is negating	13
a contraria	урвуу, урвуугаар	Latin	18
a fortiori	тэх тусмаа	Latin; printed 'тэх' (std. тэр тусмаа)	22
a posteriori distribution	апостериор магадлал, туршилтын дараах магадлал	'Bayes' formula'-гын орчуулгыг хар	31
AAA	өнцөг – өнцөг – өнцөг, ӨӨӨ	angle-angle-angle; abbreviation for triangle similarity criterion	13
AAS	өнцөг – өнцөг – тал, ӨӨТ	angle-angle-side; triangle congruence criterion	13
ab initio	бүр эхнээс нь	Latin	13
ab ovo	бүр эхнээс нь	Latin	14
abacus	сампин	тайлбар өгүүлбэрт 'абак' хэлбэрийг бас хэрэглэсэн	13
abbreviate	товчлох, хураангуйлах	shorten a word by letters or syllables	13
abbreviation	товчилол, хураангуйлал, үсэг хураалт, товчилсон үг	e.g. AAA, AAS	13
about	ойролцоо, ойролцоогоор, орчим, орчин (цэгийн) хажууд, бараг, хувьд, тухай, тойруулсан эргүүлэлт	sometimes left untranslated	13
about a line	шулууны хувь дахь тэгшхэм	symmetry with respect to a line	13
about-face	180°–ын эргүүлэлт	printed as about – face	13
above	–ийн дээр, дээр, дээр нь, өмнө (хугацаа)	өмнө in the time sense	13
abridge	товчлох, товч өгүүлэх, хязгаарлах	1. shorten 2. limit	14
absense	байхгүй (байх)	printed absense; = absence	14
absense of certion orders	тодорхой орны нэгж байхгүйг	printed certion; = certain	14
absolute error	абсолют зөрөө	difference between real value and estimated value	14
absolute value equations and inequalities	абсолют хэмжигдэхүүнтэй тэгшитгэл ба тэнцэтгэлбиш	e.g. |x| = 3, |x| ≥ 5	15
abstract	хийсвэр, хийсвэр ухагдахуун, товч агуулга, товч танилцуулга, онолын хийсвэрлэл, товч дүгнэлт, хийсвэрлэх	1. abstract (adj) 2. summary 3. theoretical abstraction	15
abstraction of actual infinity	бодит төгсгөлгүйн хийсвэрлэл	translation continues on p.16	15
acceleration	хурдатгал	change in speed per unit of time	16
according to	ёсоор, харгалзан, -аар (-ээр, -оор, -өөр)	also rendered by the instrumental suffix	17
accumulution of data	мэдээний цуглуулга, мэдээ хуримтлагдах	printed accumulution; = accumulation of data	17
accurate to	хүртэп нарийвчлалтай	printed хүртэп; read хүртэл	17
achieveable	хүрч болох	printed achieveable; = achievable	18
actual speedy	бодит хурд, өөрийн хурд	printed speedy; = actual speed	18
acute triangle	хурц өнцөгт гурвалжин	also printed as acute-angled triangle	18
ad absurdum	утгагүйд шилжүүлэх, зөрчилд хүргэх, эсрэгээс нь батлах баталгаа	Latin	18
ad infinitum	төгсгөлгүй хүртэл	Latin	21
add the ones	нэгжүүдийг нь нэм, нэгжийг нь нэм	when adding two whole numbers	18
addition of whole numbers	сөрөгбус бүхэл тоо нэмэх	printed сөрөгбус = сөрөг бус (non-negative)	19
additive identity	нэмэхийн нөлөөгүй тоо (тэгийн өөр нэр)	0 is the additive identity: a+0=0+a	19
adjoint	хосмог, нэгтгэсэн, хосмог хувиргалт	matrix/operator sense	21
adjust	уялдуулах, дагуу хийх, тооцоолох, тохируулах, засварлах, засвар хийх, тоймлох	e.g. adjust the compass	21
advanced cours	ахиу түвшний сурах бичиг	printed 'cours' (= course)	21
affirmation	нотломж	logic	22
affix	аффикс	math sense: комплекс тоонд харгалзаж буй комплекс хавтгайн цэг	22
aggregate of simple events	эгэл үзэгдлийн олонлог	probability	22
ahead, to be ahead	хожих, давуу байх (тоглоомонд)	in games	22
aleph	алеф, кардинал тоо	first Hebrew letter ℵ; cardinal of an infinite set	22
alfin	заан (шатрын)	chess bishop	22
algebra of events	үзэгдлийн алгебр	probability	23
algebra of logik	логикийн алгебр	printed 'logik' (= logic)	23
algebraic number	алгебрын тоо	root of an integer-coefficient polynomial	23
algebraic step	алгебрын алхам (тэгшитгэл бодох зэргийн)	step in solving an equation	23
all A's are B's	Бүх A нь B	logic statement pattern	25
almost everywhere	бараг хааяагүй	as printed	25
alpha	альф, үсэгт	first Greek letter α	25
alphabet	цагаан толгой, цагаан топгойн үсгийн дэс дараагаар байрлуулах	2nd sense = to alphabetize; misprint топгойн = толгойн	25
alphabetically	цагаан толгойн үсгээр дугаарлах	numbering а), б) etc.	25
alternate events	нэгдэл үзэгдэл	probability	25
alternate interior angles are congurent	дотоод солбисон хоёр өнцөг тэнцүү	printed 'congurent' (= congruent)	26
alternation	сөөлжилт, үелж өөрчлөгдөх, дизъюнкц	logic sense: disjunction	26
always - falsehood	ямагт худал	logic	26
always - truth	ямагт үнэн	logic	26
amicable numbers	нөхөрсөг хоёр тоо	e.g. 220 and 284; gloss completed on p.27	26
amplitude	далайц, модул (комплекс тооны)	modulus of a complex number; амплитуд for x=Asin(wt+a)	27
an altitude of a triangle	гурвалжны өндөр	perpendicular from vertex to opposite side	26
and	ба, бөгөөд, хоёр	Олон юм тоочихдоо сүүлчийнх нь өмнө тавина; заримдаа орчуулахгүй	28
angle of depression	доошоо харах өнцөг	depression үгийн орчуулгыг хар	29
angle of elevation	дээшээ харах өнцөг	elevation үгийн орчуулгыг хар	29
angle-chasing	өнцөг хөөх	Евклидийн геометрт өнцгүүдийг тооцоолох арга	29
annex a zero to	… –ын ард тэг бич	жишээ: 1,3–ын ард тэг бич	29
annotation	товч танилцуулга (өгүүлэл, ном, гар бичмэлийн)	Өгүүлэл, ном, гар бичмэлийн	29
answer following	дараах асуултанд хариул	Номд 'the' үггүй хэвлэгдсэн (= answer the following)	30
antecedent	эхний гишүүн, өмнөх	Логикт (p ⇒ q)-ийн p нөхцөл	30
anticosine	арккосинус	cos⁻¹x	30
anticotangent	арккотангенс	ctg⁻¹x	30
antisine	арксинус	sin⁻¹x	30
antitangent	арктангенс	tg⁻¹x	30
anywhere	хаа нэг, аль нэг	Зарим үед орчуулахгүй	31
apothem	апофем	Зөв олонөнцөгтийн төвөөс талд нь буулгасан перпиндикуляр хэрчим	31
applicate axis	босоо тэнхлэг (огторгуйд)	z-axis in 3D space	42
arabic system	араб тооллын систем	0,1,2,...,9 цифр ашиглан тоо бичдэг систем	33
arc cosine	арккосинус	cos⁻¹x	33
arc cotangent	арккотангенс	ctg⁻¹x	33
arc secant	арксеканс	sec⁻¹x	33
arc sine	арксинус	sin⁻¹x	33
arc tangent	арктангенс	tg⁻¹x	33
Archimedes	Архимед	МЭӨ 287-212 он	34
are	ар	Талбайн нэгж; 1a = 100 м²	34
